Company,Product Name,Prices,Display Size, Display Type,Memory Description
Lava,LAVA 34 Ultra,"₹ 1,629",2.4 ,Basic ,24 MB RAM | 32 MB ROM
Gfive,GFive U106,₹ 749,1.8 ,Basic ,32 MB RAM | 64 MB ROM
Micromax,Micromax X708,"₹ 1,305",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Infinix,"Infinix HOT 20 5G (Racing Black, 64 GB)","₹ 11,499",6.6 ,Full HD,4 GB RAM | 64 GB ROM 
Realme,"realme GT 2 (Paper White, 128 GB)","₹ 23,999",6.62,Full HD,8 GB RAM | 128 GB ROM
Itel,itel It2171,"₹ 1,099",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Micromax,Micromax X412,₹ 914,1.77,Basic ,32 MB RAM | 32 MB ROM
Nokia,Nokia 150 TA-1235 DS,"₹ 2,614",2.4 ,Basic ,4 MB RAM | 4 MB ROM
Infinix,"Infinix Hot 20 5G (Space Blue, 128 GB)","₹ 13,499",6.6 ,Full HD,6 GB RAM | 128 GB ROM
Micromax,Micromax X512,"₹ 1,109",1.77,Basic ,30 MB RAM | 24 MB ROM
Redmi,"REDMI 10 (Midnight Black, 128 GB)","₹ 10,999",6.7 ,HD,6 GB RAM | 128 GB ROM
Micromax,Micromax X708,"₹ 1,298",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Poco,"POCO X5 5G (Jaguar Black, 256 GB)","₹ 17,999",6.67,Full HD,8 GB RAM | 256 GB ROM
Nokia,Nokia 105 SS 2021,"₹ 1,449",1.77,Quarter QVGA ,4 MB RAM | 4 MB ROM
Gfive,GFive L228,"₹ 1,099",2.8 ,Basic ,32 MB RAM | 32 MB ROM
Cellecor,Cellecor E6+,"₹ 1,236",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Cellecor,Cellecor E10,"₹ 1,353",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Snexian,Snexian GURU 312,₹ 699,1.8 ,Quarter QVGA ,32 MB RAM | 32 MB ROM
Lava,LAVA Hero 600i,₹ 899,1.8 ,Basic ,4 MB RAM | 3 MB ROM
Nokia,Nokia 105 TA-1416 DS,"₹ 1,599",1.77,QVGA ,32 MB RAM | 32 MB ROM
Lava,LAVA A3 Power,"₹ 1,339",1.77,Quarter QVGA ,NA ROM
Cellecor,Cellecor C60+,"₹ 1,293",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Nokia,Nokia 125 TA-1253 DS,"₹ 2,225",2.4 ,Basic ,4 MB RAM | 4 MB ROM
Realme,"realme 9 5G SE (Starry Glow, 128 GB)","₹ 17,999",6.6 ,Full HD,8 GB RAM | 128 GB ROM
Realme,"realme 9 5G SE (Azure Glow, 128 GB)","₹ 17,999",6.6 ,Full HD,8 GB RAM | 128 GB ROM
Poco,"POCO X5 Pro 5G (Horizon Blue, 256 GB)","₹ 23,999",6.67,Full HD,8 GB RAM | 256 GB ROM
Realme,"realme 9i 5G (Soulful Blue, 128 GB)","₹ 16,999",6.6 ,Full HD,6 GB RAM | 128 GB ROM
Kechaoda,Kechaoda K112,"₹ 1,489",2.4 ,QVGA ,32 MB RAM | 64 MB ROM
Realme,"realme 9i 5G (Rocking Black, 64 GB)","₹ 14,999",6.6 ,Full HD,4 GB RAM | 64 GB ROM 
Samsung,SAMSUNG Guru Music 2,"₹ 2,499",2 in,Basic ,NA ROM
Dizo,DIZO Star 500,"₹ 1,650",2.8 ,QVGA ,32 MB RAM | 32 MB ROM
Gfive,GFive U106,₹ 749,1.8 ,Basic ,32 MB RAM | 64 MB ROM
Redmi,"REDMI 10 (Midnight Black, 128 GB)","₹ 10,999",6.7 ,HD,6 GB RAM | 128 GB ROM
Redmi,"REDMI Note 12 5G (Frosted Green, 128 GB)","₹ 16,999",6.67,Full HD,4 GB RAM | 128 GB ROM
Nokia,Nokia 150 DS 2020,"₹ 2,615",2.4 ,Basic ,4 MB RAM | 4 MB ROM
Realme,"realme 9i 5G (Rocking Black, 128 GB)","₹ 16,999",6.6 ,Full HD,6 GB RAM | 128 GB ROM
Realme,"realme 9i 5G (Metallica Gold, 128 GB)","₹ 16,999",6.6 ,Full HD,6 GB RAM | 128 GB ROM
Jmax,Jmax J30,₹ 699,1.8 ,Basic ,32 MB RAM | 32 MB ROM
Vivo,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹ 17,999",6.44,Full HD,8 GB RAM | 128 GB ROM
Vivo,"vivo T1 44W (Ice Dawn, 128 GB)","₹ 17,999",6.44,Full HD,8 GB RAM | 128 GB ROM
Cellecor,Cellecor E6+,"₹ 1,236",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Vivo,"vivo T1 44W (Midnight Galaxy, 128 GB)","₹ 14,499",6.44,Full HD,4 GB RAM | 128 GB ROM
Vivo,"vivo T1 44W (Ice Dawn, 128 GB)","₹ 15,999",6.44,Full HD,6 GB RAM | 128 GB ROM
Poco,"POCO X4 Pro 5G (Yellow, 128 GB)","₹ 17,499",6.67,Full HD,6 GB RAM | 128 GB ROM
Cellecor,Cellecor E8 Plus,"₹ 1,396",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Philips,PHILIPS Xenium E209,"₹ 1,255",2.4 ,QVGA ,32 MB RAM | 32 MB ROM
Lava,LAVA A3,"₹ 1,275",1.77,Basic ,4 MB RAM | 3 MB ROM
Apple,"APPLE iPhone 14 (Blue, 128 GB)","₹ 69,999",6.1 ,Super Retina ,128 GB ROM
Cellecor,Cellecor E10,"₹ 1,353",2.4 ,Basic ,32 MB RAM | 32 MB ROM
Gfive,GFive U873,₹ 749,1.8 ,Basic ,32 MB RAM | 32 MB ROM
Kechaoda,Kechaoda K66 The Music House 4,"₹ 1,330",1.44,Basic ,32 MB RAM | 64 MB ROM
Redmi,"REDMI 9 Activ (Coral Green, 128 GB)","₹ 9,499",6.53,HD,6 GB RAM | 128 GB ROM
Cellecor,Cellecor C60+,"₹ 1,293",1.8 ,Basic ,32 MB RAM | 32 MB ROM
Lava,LAVA A1 Josh 2021,"₹ 1,099",1.77,Quarter QVGA ,NA ROM
Micromax,Micromax X512,"₹ 1,037",1.77,Basic ,32 MB RAM | 32 MB ROM
Realme,"realme 9i 5G (Metallica Gold, 64 GB)","₹ 14,999",6.6 ,Full HD,4 GB RAM | 64 GB ROM 
Kechaoda,Kechaoda K66 The Music House 4,"₹ 1,330",1.8 ,Basic ,32 MB RAM | 64 MB ROM
Lava,LAVA A1,"₹ 1,129",1.77,Quarter QVGA ,24 MB RAM | 24 MB ROM
Lava,LAVA A3,"₹ 1,275",1.77,Basic ,NA ROM
Infinix,"Infinix Hot 20 5G (Racing Black, 128 GB)","₹ 13,499",6.6 ,Full HD,6 GB RAM | 128 GB ROM
Lava,LAVA Hero 600i,₹ 899,1.8 ,QVGA ,4 MB RAM | 3 MB ROM
